City,Country,lat,long,city_temps,perc_humidity,perc_cloudiness,wind_speed
Lahaina,US,20.88,-156.68,74.35,73,40,6.93
Acarau,BR,-2.89,-40.12,77.56,89,1,5.7
Laas,IT,46.62,10.7,24.35,66,0,4.7
Kieta,PG,-6.22,155.63,83.68,78,100,20.89
Oranjemund,NA,-28.55,16.43,67.42,81,89,1.7
Alugan,PH,12.22,125.48,78.08,81,44,11.63
Khetia,IN,21.67,74.58,69.03,47,0,2.1
Melville,US,40.79,-73.42,42.1,45,1,9.17
Grand Gaube,MU,-20.01,57.66,80.26,83,40,12.75
Avera,US,33.19,-82.53,71.08,78,90,3.36
Solton,RU,52.84,86.48,7.16,75,0,6.11
Plettenberg Bay,ZA,-34.05,23.37,70.2,80,0,2.35
Merauke,ID,-8.47,140.33,74.93,94,100,8.34
Husavik,IS,66.04,-17.34,23.0,67,75,11.41
Aykhal,RU,66.0,111.5,-4.0,83,90,4.47
Forio,IT,40.73,13.86,50.63,81,3,1.12
Mariehamn,AX,60.1,19.93,35.6,93,40,4.7
Havre-Saint-Pierre,CA,50.23,-63.6,23.0,79,1,20.8
Kontagora,NG,10.4,5.47,74.53,17,32,8.75
Nong Han,TH,17.36,103.11,78.17,47,90,2.91
Gort,IE,53.07,-8.82,44.6,87,75,25.28
Zhigansk,RU,66.77,123.37,-35.23,96,1,0.38
Conceicao da Barra,BR,-18.59,-39.73,80.74,80,100,13.6
Mwense,ZM,-10.38,28.7,66.67,95,100,1.59
La Ronge,CA,55.1,-105.28,-9.4,47,5,9.17
Halol,IN,22.5,73.47,70.48,29,0,4.59
Eisiskes,LT,54.17,25.0,33.6,90,75,12.75
Severo-Yeniseyskiy,RU,60.37,93.04,0.46,94,79,6.4
Weston,US,26.1,-80.4,80.4,65,40,11.41
Ambulu,ID,-8.35,113.61,79.75,81,100,5.5
Sydney,AU,-33.87,151.21,73.2,100,90,3.36
Rimbey,CA,52.63,-114.24,12.2,72,90,12.75
Rio Gallegos,AR,-51.62,-69.22,62.6,29,40,21.92
Kupang,ID,-10.17,123.58,75.2,100,75,2.24
Khani,GE,41.96,42.96,32.0,93,90,5.82
Ust-Kuyga,RU,70.02,135.6,-17.7,97,100,2.35
Macao,MO,22.2,113.55,65.73,100,20,3.36
Palma di Montechiaro,IT,37.19,13.77,50.43,57,85,9.19
Necochea,AR,-38.55,-58.74,79.68,50,0,13.0
Fairbanks,US,64.84,-147.72,-4.0,70,40,3.36
Alyangula,AU,-13.85,136.42,84.2,83,31,4.7
Ucluelet,CA,48.93,-125.55,45.19,87,75,5.82
Teknaf,BD,20.86,92.31,54.97,66,0,3.02
Saurimo,AO,-9.66,20.39,68.68,89,100,2.24
Gunjur,GM,13.2,-16.73,82.4,51,5,9.17
Kindu,CD,-2.95,25.95,71.8,78,67,1.41
Reconquista,AR,-29.15,-59.65,96.48,19,0,7.92
Chara,RU,56.91,118.26,-23.51,64,0,0.96
Macenta,GN,8.54,-9.47,75.88,19,92,3.18
Burnie,AU,-41.07,145.92,60.82,77,100,12.82
Comodoro Rivadavia,AR,-45.87,-67.5,60.8,77,40,5.82
Yueyang,CN,29.33,113.09,55.4,92,70,4.63
Manakara,MG,-22.13,48.02,74.35,94,49,3.09
Sioux Lookout,CA,50.1,-91.92,-12.3,57,5,9.17
Svobodnyy,RU,51.4,128.13,-1.3,69,100,14.16
Ampanihy,MG,-24.7,44.75,76.84,60,0,7.63
Lianyuan,CN,27.69,111.66,54.88,96,100,1.25
La Crosse,US,43.8,-91.24,34.61,69,90,10.29
College,US,64.86,-147.8,-6.27,70,40,4.99
Gejiu,CN,23.31,103.16,48.11,80,0,5.79
Zaragoza,ES,41.66,-0.88,51.51,93,90,4.7
Sarangani,PH,5.4,125.46,80.04,80,100,15.9
Anori,BR,-3.77,-61.64,84.52,78,100,2.66
Gilroy,US,37.01,-121.57,66.63,32,1,3.11
Aklavik,CA,68.22,-135.01,-23.82,74,20,7.25
Vanavara,RU,60.34,102.28,-13.34,99,84,4.63
Fairview,US,40.81,-74.0,42.55,52,75,6.93
Departamento de Maldonado,UY,-34.67,-54.92,80.6,51,20,20.8
Cherlak,RU,54.16,74.81,-1.08,79,2,10.42
Saint George's,GD,12.06,-61.75,82.4,74,40,18.34
Duki,PK,30.15,68.57,54.03,48,97,1.92
Luau,AO,-10.71,22.22,67.98,92,92,2.24
Mil'kovo,RU,54.72,158.62,1.15,93,39,1.19
Nantucket,US,41.28,-70.1,38.82,48,1,12.75
Nueve de Julio,AR,-35.44,-60.88,85.69,38,0,1.99
Ukiah,US,39.15,-123.21,64.38,32,1,3.36
Sakakah,SA,29.97,40.21,44.6,33,0,8.05
Saldanha,ZA,-33.01,17.94,62.6,88,1,14.99
Qurayyat,SA,31.33,37.34,46.4,42,0,4.7
Valparaiso,CL,-33.04,-71.63,72.59,60,100,19.46
Vestmannaeyjar,IS,63.44,-20.27,27.95,81,76,7.9
Johi,PK,26.69,67.61,65.61,30,3,3.38
Hambantota,LK,6.12,81.12,77.0,100,20,14.99
Morehead,US,37.27,-87.18,40.41,100,90,5.82
Neftcala,AZ,39.37,49.25,46.71,47,92,22.97
Poronaysk,RU,49.22,143.12,16.75,89,15,2.71
Kamaishi,JP,39.27,141.88,40.33,61,99,4.63
Faya,SA,18.39,42.45,52.66,53,5,6.93
Calamar,CO,10.25,-74.91,89.6,62,96,18.34
Kashgar,CN,39.45,75.98,37.4,29,39,11.18
Maningrida,AU,-12.07,134.27,82.11,83,100,14.34
Mechetinskaya,RU,46.77,40.46,34.75,85,97,20.85
Tazovsky,RU,67.47,78.7,12.87,93,99,13.56
Pisco,PE,-13.7,-76.22,71.78,30,75,25.28
Hirara,JP,24.8,125.28,69.8,94,40,6.93
Djibouti,DJ,11.5,42.5,78.8,69,90,3.36
Shache,CN,38.42,77.24,36.73,38,100,3.6
Synya,RU,65.37,58.04,23.43,90,100,12.71
Bilibino,RU,68.05,166.44,-17.32,96,0,3.31
Sal Rei,CV,16.18,-22.92,69.8,83,20,11.41
Esim,GH,4.87,-2.24,79.75,81,9,4.88
Burgersdorp,ZA,-31.0,26.33,63.72,55,33,2.93
